,YEAR,X,Y,OILPRODM3,GAS_THERMS,OILDISCOVERED_BINARY,GASDISCOVERED_BINARY,OIL_LOG_STAN,GAS_LOG_STAN
0,1975,733632.2008235024,6405341.135474083,747936.0,954963.0540938112,1,1,0.6479664606296235,0.5308825407753178
1,1975,812366.0610822935,6262000.474071504,1054.0,0.0,1,0,-1.0425228535812578,-1.0920363488483738
2,1975,858086.349600429,6241411.979173965,586113.0,0.0,1,0,0.5851750619077236,-1.0920363488483738
3,1976,689906.6682097934,6485040.457760209,100426.0,0.0,1,0,0.13083857592991288,-1.0920363488483738
4,1976,733632.2008235024,6405341.135474083,10195070.0,36003675.16037063,1,1,1.3207702001158816,0.9586935245993989
5,1976,754353.914271154,6780771.257284914,142169.0,0.0,1,0,0.2203603862140267,-1.0920363488483738
6,1976,755387.3216785236,6612914.078590033,422715.0,0.0,1,0,0.5010047631122494,-1.0920363488483738
7,1976,763158.3083038264,6375987.784657782,138272.0,0.0,1,0,0.21320221140549073,-1.0920363488483738
8,1976,812366.0610822935,6262000.474071504,1444635.0,0.0,1,0,0.817508884716638,-1.0920363488483738
9,1976,858086.349600429,6241411.979173965,1316530.0,0.0,1,0,0.7935936939660742,-1.0920363488483738
10,1977,660156.6854188476,6482066.766774968,383545.0,0.0,1,0,0.47596051766952535,-1.0920363488483738
11,1977,689906.6682097934,6485040.457760209,10227133.0,0.0,1,0,1.3215789056652085,-1.0920363488483738
12,1977,733632.2008235024,6405341.135474083,23992387.0,98890114.83750626,1,1,1.541188268641524,1.0777818447680423
13,1977,754353.914271154,6780771.257284914,1507075.0,0.0,1,0,0.8284067704219618,-1.0920363488483738
14,1977,755387.3216785236,6612914.078590033,3612063.0,0.0,1,0,1.053531728150209,-1.0920363488483738
15,1977,763158.3083038264,6375987.784657782,987704.0,0.0,1,0,0.7195816880047358,-1.0920363488483738
16,1977,812366.0610822935,6262000.474071504,2788328.0,0.0,1,0,0.9868687558169831,-1.0920363488483738
17,1977,858086.349600429,6241411.979173965,972115.0,0.0,1,0,0.7154843711284468,-1.0920363488483738
18,1978,660156.6854188476,6482066.766774968,3468893.0,4549173.219241443,1,1,1.0431155657873568,0.7148713397694625
19,1978,689906.6682097934,6485040.457760209,14565252.0,1213877.746773631,1,1,1.4126465067263383,0.5591583768215174
20,1978,713193.654872231,6763953.255661561,166447.0,0.0,1,0,0.2609652896266024,-1.0920363488483738
21,1978,733632.2008235024,6405341.135474083,29106617.0,135786032.2106125,1,1,1.5909540420904624,1.1151530841950612
22,1978,741702.3740382771,6754281.781758557,49090.0,0.0,1,0,-0.0535029449466186,-1.0920363488483738
23,1978,744613.6115421415,6811769.607051467,2834957.0,0.0,1,0,0.9911400978472716,-1.0920363488483738
24,1978,746293.2834339209,6801981.998061663,794830.0,0.0,1,0,0.6636281643530021,-1.0920363488483738
25,1978,754353.914271154,6780771.257284914,4602215.0,0.0,1,0,1.1159249914776077,-1.0920363488483738
26,1978,755387.3216785236,6612914.078590033,3080283.0,0.0,1,0,1.0125152292304642,-1.0920363488483738
27,1978,763158.3083038264,6375987.784657782,1424623.0,0.0,1,0,0.8139162242478705,-1.0920363488483738
28,1978,812366.0610822935,6262000.474071504,1555785.0,0.0,1,0,0.8365992592985068,-1.0920363488483738
29,1978,858086.349600429,6241411.979173965,836101.0,0.0,1,0,0.6766655388408901,-1.0920363488483738
30,1979,660156.6854188476,6482066.766774968,4626497.0,33011049.650445096,1,1,1.1172802832829434,0.948465449679449
31,1979,689906.6682097934,6485040.457760209,15823012.0,342161311.8166239,1,1,1.43397835980626,1.2240831485543726
32,1979,713193.654872231,6763953.255661561,992215.0,0.0,1,0,0.7207552722192245,-1.0920363488483738
33,1979,719424.558848002,6781128.732215336,44295.0,0.0,1,0,-0.0799740955375732,-1.0920363488483738
34,1979,733632.2008235024,6405341.135474083,29177969.0,138671190.91308898,1,1,1.5915846235243405,1.1176312018274666
35,1979,741702.3740382771,6754281.781758557,9130281.0,0.0,1,0,1.2923606263171212,-1.0920363488483738
36,1979,744613.6115421415,6811769.607051467,4621980.0,0.0,1,0,1.117028707777984,-1.0920363488483738
37,1979,746293.2834339209,6801981.998061663,6695556.0,0.0,1,0,1.2124814264227304,-1.0920363488483738
38,1979,754353.914271154,6780771.257284914,10379816.0,0.0,1,0,1.3253954774594934,-1.0920363488483738
39,1979,755387.3216785236,6612914.078590033,5617156.0,0.0,1,0,1.1672511928512705,-1.0920363488483738
40,1979,763158.3083038264,6375987.784657782,1623345.0,0.0,1,0,0.8475472649506313,-1.0920363488483738
41,1979,812366.0610822935,6262000.474071504,1006949.0,0.0,1,0,0.7245516394383207,-1.0920363488483738
42,1979,858086.349600429,6241411.979173965,1010560.0,0.0,1,0,0.7254735750347455,-1.0920363488483738
43,1980,660156.6854188476,6482066.766774968,5094961.0,48308433.39121336,1,1,1.1421213233480256,0.9933437637611724
44,1980,689906.6682097934,6485040.457760209,12373399.0,506229854.1499219,1,1,1.3706430315521718,1.2702514511557277
45,1980,713193.654872231,6763953.255661561,829008.0,0.0,1,0,0.6744713301058342,-1.0920363488483738
46,1980,719424.558848002,6781128.732215336,1269875.0,0.0,1,0,0.7843010995792206,-1.0920363488483738
47,1980,733632.2008235024,6405341.135474083,29275280.0,187397253.32115072,1,1,1.592442139478988,1.1531229883871472
48,1980,741702.3740382771,6754281.781758557,13445902.0,0.0,1,0,1.3920518411098097,-1.0920363488483738
49,1980,744613.6115421415,6811769.607051467,6329360.0,0.0,1,0,1.1979956555877338,-1.0920363488483738
